優れたプログラマーは、金銭的な報酬や人々から賞賛を浴びる目的で、コードを書くのではない。単純にプログラミングを楽しむために、コードを書くんだ。,リーナス・トーバルズ
良いプログラマーとは、一方通行の道を渡るときに両側を見るような人である。,ダグラス・リンダー
その仕事は、私が知る中で、エンジニアとアーティストの両方でいられる唯一の場所だ。そこには、途方もなく、厳格で、専門的な要素がある。その非常に明瞭な思考が必要とされるところが、私は好きだ。同時に、著しく創造的な側面もある。そこでは想像力の殻こそが本当の限界である。,アンディ・ハーツフェルド
関数は１つのことをすべきである。そのことを徹底すべきだ。たったそれだけのことに特化すべきだ。,ロバート・C・マーティン
愚者はいつまでも悩み、賢者は尋ねる。,ベンジャミン・ディズレーリ
理論的には、理論と実践に違いはない。しかし、実践的には、ある。,ヤン L.A. ヴァン・デ・スネップショイト
始めさえすれば、８割は成功したようなものだ,ウディ・アレン
不屈の努力と熱情は、何歳でも奇跡を起こす。,ジョージ・ワシントン
独学こそが唯一の教育である、私はそう強く信じている。,アイザック・アシモフ
私は本からすべてを学んだ。,エイブラハム・リンカーン
やみくもに練習しても完璧にはできない。深く繰り返し行う練習が末梢神経を作り、末梢神経が完璧をもたらす。,ダニエル・コイル
世の中には2種類の言語しかない。1つはみんなが文句ばかり言い、もう1つは誰も見向きもしない言語さ。,ビャーネ・ストロヴストルップ
優れたデザインには、そのコストをはるかに超える価値がある。,トーマス・C・ゲール
コードを詩的に扱いなさい、そしてギリギリまで磨きなさい。,イリヤ・ドルマン
コードが動くまでは口先だけだね。,ウォード・カニンガム
コンピュータープログラミング以外の仕事は考えられない。毎日、形なき空虚からパターンや構造を見つけ、小さなパズルを山ほど解き続けている。,ピーター・ヴァン・デ・リンデン
口ではなんとでも言える。コードを見せなさい。,リーナス・トーバルズ
プログラマーというのは作家だ。,セルカン・レィレキ
コンピューターができることはしたくない。,オリン・シーバーズ
神話と伝説の魔法は我々の時代に現実のものとなる。呪文を正しくキーボードに入力すれば、ディスプレイに命が宿り、これまでに見たこともないものが示されるのだ。,フレデリック・ブルックス
実際のところ、良いプログラマーと悪いプログラマーの違いはデータ構造を重要であると考えるかどうかにあると言いたい。悪いプログラマーはコードそのものに気を使ってしまうが、良いプログラマーはデータ構造とそれらの関係性について気を使うものだ。,リーナス・トーバルズ
アルゴリズムはレシピのようなもの。,ワシム・ラティフ
コードを書くときはいつも、あなたのコードをメンテするのが凶暴なサイコパスで、しかもあなたの住所を知っている、と考えよう。,ジョン・ウッズ
他人の考える「現実」に気を付けろ。人が考える現実なんて不文律の決め付けで満ちているのだから。,エドガー・ダイクストラ
素晴らしいチームなしでは素晴らしいソフトウェアは生まれない。チームは崩壊しやすく、相互理解が本当に重要だ。,ジム・マッカーシー
最高のプログラマーは、単に良いプログラマーと比べて比較的良いというのではない。コンセプトの創造、スピード、デザインの創造力、問題解決能力といった、いかなる基準で測っても桁違いに良いのだ。,ランダル・E. ストロス
学んだことを交換してみよう、それは意義のあることになるだろう。,マルクス・アウレリウス
